geometry_strength,phase_coupling,potential_depth,diffusion_rate,scheduler_bias,entropy_proxy,mean_kinetic_proxy,scheduler_activity,trace_proxy
0.25,0.4,0.7,0.12,0.5,8.236202126710372,0.0026587839151307364,0.09228515625,0.21453404633342682
0.25,0.4,0.7,0.25,0.5,8.220857417535811,0.0014179788565884172,0.09228515625,0.21515480594992553
0.25,0.65,0.7,0.12,0.5,8.236507198687066,0.005229228797649667,0.09228515625,0.19305987551993586
0.25,0.65,0.7,0.25,0.5,8.226209632829544,0.002598486768353391,0.09228515625,0.19363475107588196
0.5,0.4,0.7,0.12,0.5,8.217834635988037,0.002757164322097325,0.09228515625,0.212618462688194
0.5,0.4,0.7,0.25,0.5,8.193017063494933,0.001509226943661113,0.09228515625,0.21348783948592423
0.5,0.65,0.7,0.12,0.5,8.222957884426208,0.005327485724484731,0.09228515625,0.19119374711258155
0.5,0.65,0.7,0.25,0.5,8.206489736108846,0.002699623287649684,0.09228515625,0.1919615267533127
0.8,0.4,0.7,0.12,0.5,8.183269491792558,0.0029438784813753034,0.09228515625,0.21053517970274616
0.8,0.4,0.7,0.25,0.5,8.163288691357899,0.001680116893308548,0.09228515625,0.21167211615049947
0.8,0.65,0.7,0.12,0.5,8.19842769295797,0.005508678752055714,0.09228515625,0.18937707275386556
0.8,0.65,0.7,0.25,0.5,8.174318412825187,0.002879565956871799,0.09228515625,0.19020398232723348
